actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/foot_contact/max,test/rwd_metrics/foot_contact/mean,test/rwd_metrics/foot_contact/min,test/rwd_metrics/foot_contact/size,test/rwd_metrics/foot_contact/std,test/rwd_metrics/pelvis_move/max,test/rwd_metrics/pelvis_move/mean,test/rwd_metrics/pelvis_move/min,test/rwd_metrics/pelvis_move/size,test/rwd_metrics/pelvis_move/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,1.0,0.026895463,-1.0,90,0.64225084,0.1885332127587221,0.1885332127587221,0.1885332127587221,10,0.0,9,9.0,9,10,0.0,-43.28535485267639,-43.28535485267639,-43.28535485267639,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,88.44976467037664,88.44976467037665,88.44976467037664,10,1.4210854715202004e-14,38.264883734928105,38.264883734928105,38.264883734928105,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,10,1.3877787807814457e-17,1.0,0.13095719,-1.0,3125,0.98966193,16,5.028985507246377,5,39744,0.503575398281661,-45.14866876602173,-61.09868791931565,-82.32977763935924,39744,1.7075156497881014,39744.0,162.0294065475464,200000.0,1.0,162.0294065475464,200000.0,1234.3438407972656,3125.0
0.7116712,-88684.96,11.016078,-0.92129904,88685.0,0.9220591,4.5956893,111832.555,-21.272257,3.3624423,-52.342117,76.00733,-68.317345,1.0,-0.017069176,-1.0,90,0.67671645,0.1871131249822085,0.1871131249822085,0.1871131249822085,10,2.775557561562892e-17,9,9.0,9,10,0.0,-43.3530113697052,-43.3530113697052,-43.3530113697052,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,88.46149817140252,88.46149817140254,88.46149817140252,10,1.4210854715202004e-14,38.1854941044661,38.1854941044661,38.1854941044661,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,10,1.3877787807814457e-17,6.0391183,-0.0053706868,-6.4876676,3125,1.003785,19,8.863029496562431,5,22545,0.8015021128889136,-10.186246156692505,-43.73234996053314,-74.15507483482361,22545,4.437669855782229,62289.0,308.53957533836365,200000.0,2.0,470.56898188591,400000.0,648.215062138034,6250.0
0.40810224,-2.9834838,12.990762,-0.03502939,3.0116427,0.035925753,10.4013815,5.341871,1.183603,2.494999,-73.51889,4.782304,-75.787605,1.0,-0.027025426,-1.0,120,0.65632707,0.174057375932173,0.174057375932173,0.174057375932173,10,2.775557561562892e-17,12,12.0,12,10,0.0,-29.949831128120422,-29.949831128120422,-29.949831128120422,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-90.0,-90.0,-90.0,10,0.0,114.51883621690445,114.51883621690445,114.51883621690445,10,0.0,45.53133465354836,45.53133465354836,45.53133465354836,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,10,1.3877787807814457e-17,5.931483,-0.019094145,-5.960304,3125,0.98632365,16,10.086594714545088,5,19828,0.6847983670147826,-4.82788360118866,-40.078379023518615,-73.73089671134949,19828,5.75932634261277,82117.0,303.02531838417053,200000.0,3.0,773.5943002700806,600000.0,660.0108567378627,9375.0
0.35785326,-14195.152,16.092934,-1.1245857,14195.18,1.1256963,14.005615,13966.37,20.174511,2.9249754,-74.46688,5.4008884,-75.51508,1.0,-0.025700217,-1.0,130,0.68510556,0.190482655475143,0.190482655475143,0.190482655475143,10,0.0,13,13.0,13,10,0.0,-32.03608977794647,-32.03608977794647,-32.03608977794647,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-100.0,-100.0,-100.0,10,0.0,121.40420577628326,121.40420577628326,121.40420577628326,10,0.0,46.55970506282373,46.55970506282374,46.55970506282373,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,10,1.3877787807814457e-17,5.8360224,-0.022352712,-5.8909235,3125,1.005561,13,10.67908814265122,8,18731,0.6384039455948981,5.09967303276062,-36.41085159696416,-54.48950469493866,18731,6.85983606047993,100848.0,306.943088054657,200000.0,4.0,1080.5373883247375,800000.0,651.5865897732359,12500.0
0.34721887,-8.902853,18.17309,-0.12249299,8.926812,0.12374693,14.202031,39.683178,28.40609,3.308194,-74.835075,5.7476497,-75.2925,1.0,-0.047501415,-1.0,130,0.7120944,0.1928362772858736,0.1928362772858736,0.1928362772858736,10,0.0,13,13.0,13,10,0.0,-33.59105449914932,-33.59105449914932,-33.59105449914932,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-100.0,-100.0,-100.0,10,0.0,120.47907116800292,120.47907116800292,120.47907116800292,10,1.4210854715202004e-14,45.92987307445775,45.92987307445775,45.92987307445775,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,10,1.3877787807814457e-17,5.984768,-0.036346827,-6.1524224,3125,1.026716,15,10.831979200519989,5,18462,0.7541026157395032,-6.242592990398407,-36.50163159299183,-73.14701247215271,18462,6.977757777825242,119310.0,308.9985177516937,200000.0,5.0,1389.5359060764313,1000000.0,647.252295756049,15625.0
0.43608937,-0.054338712,13.729865,-0.009882613,0.08442887,0.010829974,4.4258585,104.53827,104.44466,1.4406904,316113.56,1217237400000.0,309185.66,1.0,-0.108748786,-1.0,880,0.8759787,0.2966731376350001,0.2966731376350001,0.2966731376350001,10,0.0,88,88.0,88,10,0.0,657.0421004295349,657.0421004295349,657.0421004295349,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-110.0,-110.0,-110.0,10,0.0,567.849697152163,567.8496971521629,567.849697152163,10,1.1368683772161605e-13,299.19240722503605,299.192407225036,299.19240722503605,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0113636363636363,0.0113636363636363,0.0113636363636363,10,0.0,5.44043,-0.16180468,-5.7491765,3125,1.095466,92,82.8630021141649,5,2365,10.037890428982882,742.8878943920135,630.6279209991842,-72.27817714214325,2365,103.63703433659228,121675.0,309.3979685306549,200000.0,6.0,309.3979685306549,1200000.0,646.4166553833858,18750.0
0.37868926,-0.04117974,20.408651,-0.0077980137,0.0673093,0.009206211,9.839523,104.34765,104.28509,1.4416019,190.42615,126.59357,191.50743,1.0,-0.107641324,-1.0,900,0.86813116,0.2929043042467377,0.2929043042467377,0.2929043042467377,10,0.0,90,90.0,90,10,0.0,718.604859828949,718.604859828949,718.604859828949,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-50.0,-50.0,-50.0,10,0.0,561.1462732209417,561.1462732209418,561.1462732209417,10,1.1368683772161605e-13,307.45858334286623,307.4585833428663,307.45858334286623,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,10,0.0,5.8133516,-0.15165196,-5.5170946,3125,1.0929928,91,81.5607589826403,5,2477,12.243362348140046,723.5944290161133,619.684265755266,-74.51719331741333,2477,125.7298053168525,124152.0,292.52273774147034,200000.0,7.0,601.9207062721252,1400000.0,683.7075351617921,21875.0
0.394815,-0.037950378,25.673487,-0.008572888,0.06519262,0.010344357,12.368902,103.87773,103.81467,1.4432515,190.15948,96.74248,191.48811,1.0,-0.080038786,-1.0,890,0.88677406,0.3116387253742594,0.3116387253742594,0.3116387253742594,10,5.551115123125783e-17,89,89.0,89,10,0.0,693.0056557655334,693.0056557655334,693.0056557655334,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-60.0,-60.0,-60.0,10,0.0,591.7227439853419,591.722743985342,591.7227439853419,10,1.1368683772161605e-13,261.2829112487612,261.2829112487612,261.2829112487612,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0112359550561797,0.0112359550561797,0.0112359550561797,10,0.0,5.751161,-0.15284769,-5.4532514,3125,1.0902228,91,84.04960067255149,25,2379,4.107741239647857,729.4647724628448,647.4879894434948,43.64294984936714,2379,53.955841070399885,126531.0,297.16491866111755,200000.0,8.0,899.0856249332428,1600000.0,673.0269538581606,25000.0
0.47106683,-0.05732293,30.854895,-0.010973741,0.08982655,0.013102729,12.414616,103.53846,103.46692,1.4706088,189.78712,79.60586,191.32349,1.0,-0.082307026,-1.0,890,0.8851536,0.3111728769219194,0.3111728769219194,0.3111728769219194,10,0.0,89,89.0,89,10,0.0,711.138247013092,711.138247013092,711.138247013092,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-50.0,-50.0,-50.0,10,0.0,593.9614166289986,593.9614166289986,593.9614166289986,10,0.0,267.1768293214129,267.17682932141287,267.1768293214129,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0112359550561797,0.0112359550561797,0.0112359550561797,10,0.0,5.8893914,-0.15339437,-5.437671,3125,1.091156,91,82.15933609958506,5,2410,9.597821652442772,730.6797299385071,632.712757356224,-74.70425796508789,2410,100.84801970290124,128941.0,301.65288186073303,200000.0,9.0,1200.7385067939758,1800000.0,663.0137221507995,28125.0
0.5408542,-0.064840026,35.299236,-0.011305355,0.10215898,0.0137410015,12.411398,103.23171,103.16396,1.8367648,188.97188,92.18787,190.65254,1.0,-0.08738675,-1.0,890,0.89103436,0.3121700947810716,0.3121700947810716,0.3121700947810716,10,5.551115123125783e-17,89,89.0,89,10,0.0,695.4237961769104,695.4237961769104,695.4237961769104,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,600.0603101596064,600.0603101596064,600.0603101596064,10,0.0,265.3634891226328,265.3634891226328,265.3634891226328,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0112359550561797,0.0112359550561797,0.0112359550561797,10,0.0,5.9551525,-0.15564398,-6.207123,3125,1.0904092,91,82.80764488286067,7,2433,8.772223326973961,741.0709824562073,642.5053768593518,-69.00292122364044,2433,94.37285538394023,131374.0,308.69985818862915,200000.0,10.0,1509.438364982605,2000000.0,647.878496522636,31250.0
