actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/foot_contact/max,test/rwd_metrics/foot_contact/mean,test/rwd_metrics/foot_contact/min,test/rwd_metrics/foot_contact/size,test/rwd_metrics/foot_contact/std,test/rwd_metrics/pelvis_move/max,test/rwd_metrics/pelvis_move/mean,test/rwd_metrics/pelvis_move/min,test/rwd_metrics/pelvis_move/size,test/rwd_metrics/pelvis_move/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/zR_mov_penalty/max,test/rwd_metrics/zR_mov_penalty/mean,test/rwd_metrics/zR_mov_penalty/min,test/rwd_metrics/zR_mov_penalty/size,test/rwd_metrics/zR_mov_penalty/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,1.0,-0.010776084,-1.0,350,0.61989975,0.1758629099223795,0.1758629099223794,0.1758629099223795,10,2.775557561562892e-17,35,35.0,35,10,0.0,-111.01314970478415,-111.07654983028768,-111.08359428867698,10,0.0211333751678466,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-340.0,-340.0,-340.0,10,0.0,268.0341552224281,268.0341552224281,268.0341552224281,10,0.0,61.1681702091584,61.16817020915839,61.1681702091584,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.2154721394889228,-0.278872470316222,-0.2859169515192552,10,0.0211334436090997,0.0285714285714285,0.0285714285714285,0.0285714285714285,10,0.0,1.0,-0.10269592,-1.0,3125,0.9889545,53,23.458646616541355,10,8512,9.679457573657364,-40.23434138298035,-95.92740677836127,-219.21575285494328,8512,29.897567060331053,8512.0,200.2124381065369,200000.0,1.0,200.2124381065369,200000.0,998.9389365188998,3125.0
1.1536156,-3525555.0,12.588641,-4.4842615,3525555.0,4.4851675,4.554568,2618371.8,76.937386,3.3934383,-66.402466,69.910545,-71.48016,1.0,-0.015029256,-1.0,280,0.65434307,0.1775403649996169,0.1775403649996169,0.1775403649996169,10,0.0,28,28.0,28,10,0.0,-62.048898682929575,-62.05583222899586,-62.11823414359242,10,0.0208006381988525,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-270.0,-270.0,-270.0,10,0.0,234.0203117094267,234.0203117094267,234.0203117094267,10,0.0,74.10908696300478,74.10908696300478,74.10908696300478,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.1782983623158799,-0.1852319033405854,-0.2476337725629351,10,0.0208006230741165,0.0357142857142857,0.0357142857142857,0.0357142857142857,10,0.0,5.805392,-0.011820025,-6.2432456,3125,0.89206296,90,29.066627703097605,14,6844,8.366282571660845,-11.468765377998352,-75.902893005086,-188.7503432482481,6844,17.944488447059054,15356.0,322.49474477767944,200000.0,2.0,522.7071828842163,400000.0,620.1651445138291,6250.0
1.2989428,-4206457.0,16.613497,-3.0521848,4206457.0,3.0533807,9.985623,1190764.8,113.855,3.4587886,-87.99851,10.844681,-88.51836,1.0,-0.033424832,-1.0,510,0.5938232,0.1384380612954064,0.1384380612954064,0.1384380612954064,10,2.775557561562892e-17,51,51.0,51,10,0.0,-27.960593789815903,-27.96606487631798,-28.01530465483665,10,0.0164132595062255,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-500.0,-500.0,-500.0,10,0.0,456.6284706534875,456.6284706534876,456.6284706534875,10,1.1368683772161605e-13,115.50731823861996,115.50731823861994,115.50731823861996,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.0963849844320402,-0.1018560852024079,-0.1510959921357164,10,0.0164133023111028,0.0196078431372549,0.0196078431372548,0.0196078431372549,10,3.469446951953614e-18,5.7327385,-0.030672662,-5.791526,3125,0.8713802,120,34.92393579902303,14,5732,11.894386045581394,-3.2234327886253595,-62.94184226779965,-285.5691309488612,5732,23.99041131316309,21088.0,290.94567680358887,200000.0,3.0,813.6528596878052,600000.0,687.4135481140545,9375.0
1.3530608,-2476915.5,20.607635,-21.681252,2476915.5,21.682734,12.632665,478978.28,133.56073,3.683529,-85.38048,15.021367,-85.99973,1.0,-0.03574143,-1.0,480,0.34609842,0.0529053445622106,0.0529053445622106,0.0529053445622106,10,0.0,48,48.0,48,10,0.0,-11.956647604703903,-12.547132915258407,-12.612742394208908,10,0.1968284368515014,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-470.0,-470.0,-470.0,10,0.0,427.50235649692274,427.50235649692274,427.50235649692274,10,0.0,130.62728158536538,130.62728158536538,130.62728158536538,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.0862875179686512,-0.6767727139732875,-0.7423821801960249,10,0.196828398668212,0.0208333333333333,0.0208333333333333,0.0208333333333333,10,3.469446951953614e-18,5.9266405,-0.044065434,-5.9717717,3125,0.8795992,128,32.67117925297668,14,6131,11.24013982710618,7.671770691871643,-44.62485688036737,-341.5575546082109,6131,24.627932042388064,27219.0,289.6148405075073,200000.0,4.0,1103.2677001953125,800000.0,690.5723465328277,12500.0
1.4278888,-10635888.0,24.478493,-10.630801,10635888.0,10.632563,12.645108,1479055.6,145.43512,3.7947214,-82.80879,17.334084,-83.18124,1.0,-0.042089835,-1.0,500,0.37598068,0.0543971392096719,0.0543971392096719,0.0543971392096719,10,6.938893903907228e-18,50,50.0,50,10,0.0,-17.055470414459705,-17.08354026824236,-17.086659140884876,10,0.0093566179275512,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-490.0,-490.0,-490.0,10,0.0,430.4950134204545,430.4950134204545,430.4950134204545,10,0.0,143.17811935385865,143.17811935385865,143.17811935385865,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.7286035383680226,-0.756673348107998,-0.7597922158568842,10,0.0093566032466584,0.02,0.0199999999999999,0.02,10,3.469446951953614e-18,5.984768,-0.050851975,-6.0534043,3125,0.9004265,89,31.324917672886937,14,6377,10.278898690265343,12.699622869491575,-40.81840748878751,-293.0877586045535,6377,23.845195807152567,33596.0,284.99621772766113,200000.0,5.0,1388.2639179229736,1000000.0,701.7636991629045,15625.0
1.3922094,-367578.94,27.03188,-0.24002063,367578.97,0.2419669,12.32083,44348.94,149.61295,3.751248,-80.61101,20.3518,-80.45192,1.0,-0.0450379,-1.0,580,0.48751006,0.0928257340529379,0.0928257340529379,0.0928257340529379,10,1.3877787807814457e-17,58,58.0,58,10,0.0,-57.94162970781326,-57.98670822381973,-58.39241486787796,10,0.1352355480194091,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-570.0,-570.0,-570.0,10,0.0,448.33942693855016,448.33942693855016,448.33942693855016,10,0.0,164.1294468917774,164.1294468917774,164.1294468917774,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.4105036402770765,-0.4555821740487344,-0.8612889779936568,10,0.135235601314974,0.0172413793103448,0.0172413793103448,0.0172413793103448,10,0.0,5.5948925,-0.049898423,-6.7841973,3125,0.90066713,89,32.77470096673767,14,6103,10.93790446983611,11.684927225112917,-38.25454075825266,-330.77278162539005,6103,26.034482160498087,39699.0,363.1859042644501,200000.0,6.0,1751.4498221874237,1200000.0,550.6821648407699,18750.0
1.2127899,-4872.288,30.24798,-0.2042585,4872.375,0.20643637,11.930259,714.3183,148.96556,3.6599505,-77.037735,23.817308,-76.280045,1.0,-0.042788174,-1.0,510,0.51524854,0.1027187438978645,0.1027187438978645,0.1027187438978645,10,0.0,51,51.0,51,10,0.0,-34.11586670577526,-34.20141200721264,-34.21091704070568,10,0.0285151004791259,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-500.0,-500.0,-500.0,10,0.0,449.3116903904118,449.3116903904118,449.3116903904118,10,0.0,116.83971755476789,116.83971755476789,116.83971755476789,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.2672774154396128,-0.3528227488910685,-0.3623277859412303,10,0.0285151111504852,0.0196078431372549,0.0196078431372548,0.0196078431372549,10,3.469446951953614e-18,5.809949,-0.051960237,-6.138663,3125,0.9042028,105,34.86396930589466,14,5734,11.326417752772674,19.697856843471527,-34.60587332895756,-451.1706669330597,5734,29.02363365178636,45433.0,441.6967782974243,200000.0,7.0,2193.146600484848,1400000.0,452.79931805462815,21875.0
1.0712994,0.07531376,34.599552,-0.22814721,0.0018198054,0.2306384,11.7967,149.10452,149.10526,3.7395382,-73.35546,26.09611,-72.483246,1.0,-0.060770273,-1.0,510,0.6445252,0.1632729104813181,0.1632729104813181,0.1632729104813181,10,2.775557561562892e-17,51,51.0,51,10,0.0,-128.10650442785118,-128.1066672677407,-128.10813282674644,10,0.0004885196685791,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-500.0,-500.0,-500.0,10,0.0,367.52404566060864,367.5240456606087,367.52404566060864,10,5.684341886080804e-14,104.72685616203542,104.72685616203542,104.72685616203542,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.3574101639246451,-0.3575730255947422,-0.359038780625616,10,0.0004885850102912,0.0196078431372549,0.0196078431372548,0.0196078431372549,10,3.469446951953614e-18,5.6204233,-0.0529078,-5.7665567,3125,0.91215295,119,36.93102810650888,14,5408,11.626739812893588,38.040653720498085,-29.273921667409933,-354.3979636617005,5408,31.86842723476349,50841.0,436.97210001945496,200000.0,8.0,2630.118700504303,1600000.0,457.6951251374986,25000.0
0.94758785,0.06646588,39.114895,-0.72679627,0.0017604668,0.72961247,11.784092,149.69412,149.71269,3.8230646,-70.76005,28.38212,-69.93445,1.0,-0.092525624,-1.0,200,0.63068205,0.1490999927765862,0.1490999927765862,0.1490999927765862,10,0.0,20,20.0,20,10,0.0,-34.259541749954224,-34.33866176605225,-34.347452878952026,10,0.0263733386993408,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-190.0,-190.0,-190.0,10,0.0,183.23871356416387,183.23871356416387,183.23871356416387,10,0.0,72.88298610118258,72.88298610118258,72.88298610118258,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.3812439712191808,-0.4603638490712399,-0.4691549466103576,10,0.026373292617353,0.05,0.05,0.05,10,0.0,5.612654,-0.054844588,-5.9525676,3125,0.9205613,106,37.83837429111532,13,5290,12.374869421463826,42.07722568511963,-27.00214502470889,-300.7280187951401,5290,33.29611738573122,56131.0,427.5394763946533,200000.0,9.0,3057.6581768989563,1800000.0,467.793060155652,28125.0
0.8570365,0.058986187,43.539272,-0.20848416,0.0027204377,0.21161899,11.770615,150.11725,150.11557,3.8420753,-68.926384,30.96155,-68.0722,1.0,-0.089896984,-1.0,270,0.5755814,0.1255585094420694,0.1255585094420694,0.1255585094420694,10,0.0,27,27.0,27,10,0.0,-34.00562355015427,-34.436162299849094,-34.48399993870407,10,0.1435129165649414,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-260.0,-260.0,-260.0,10,0.0,237.6282346280817,237.6282346280817,237.6282346280817,10,0.0,88.8395421288861,88.83954212888611,88.8395421288861,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.4734009596618635,-0.9039398187960336,-0.9517774698109412,10,0.1435129530447233,0.037037037037037,0.037037037037037,0.037037037037037,10,0.0,5.8939447,-0.055977963,-5.9208045,3125,0.91480905,117,38.122262426204536,13,5251,12.183932114689108,39.29358357191086,-23.15163134637475,-324.2205942696892,5251,32.41875307266554,61382.0,419.0166931152344,200000.0,10.0,3476.6748700141907,2000000.0,477.3079528480688,31250.0
